RMS,Spectral Slope,Zero Crossings,MFCC(2),Spectral RollOff,MFCC(4),MFCC(13),MFCC(11),MFCC(1),MFCC(12),Spectral Spread,Class
-14.228,-1.83E-06,0.13358,1.5351,859,0.67138,0.48144,-0.35966,-22.722,0.23612,1374.5,'music'
-13.771,-1.91E-06,0.078632,0.060877,969,2.287,0.039578,0.22632,-23.006,-0.092812,1407.1,'speech'
-10.484,-4.21E-06,0.048596,2.9202,569,0.85233,-0.34177,-0.7183,-22.279,0.084099,530.98,'speech'
-24.711,-2.78E-07,0.035897,1.5342,891,0.17544,0.024594,0.043869,-30.064,-0.0056976,393.89,'speech'
-19.888,-8.71E-07,0.039072,4.7941,248,0.9989,-0.11478,0.18609,-27.239,0.11685,359.51,'music'
-43.162,-9.11E-08,0.17534,1.8068,1351,0.17209,-0.13341,0.012151,-29.618,-0.07715,1999.7,'speech'
-18.365,-1.69E-06,0.19829,0.55644,560,2.9815,-0.22632,-0.67648,-24.389,0.082253,1567.7,'speech'
-10.961,-3.96E-06,0.068376,3.2965,454,0.39067,0.019979,-0.31583,-21.359,0.13129,659.03,'speech'
-25.292,-2.14E-07,0,2.4023,634,0.52542,0.14578,-0.10114,-30.553,-0.042411,274.32,'speech'
-21.053,-4.19E-07,0.25836,1.3925,1406,-0.017158,-0.11602,0.37078,-25.112,0.27485,3659.4,'music'
-28.447,-3.28E-07,0.13553,1.9503,1361,0.097443,0.24088,-0.48239,-27.34,-0.34388,1261.8,'speech'
-10.665,-3.82E-06,0.088889,2.6723,592,0.20969,-0.26609,0.53632,-21.024,-0.14862,684.72,'music'
-18.236,-1.65E-06,0.09011,2.3498,909,0.093641,0.36496,0.02376,-22.642,0.085253,988.16,'music'
-15.754,-2.05E-06,0.066667,2.8212,648,0.88164,0.14383,-0.10483,-22.871,-0.26972,810.38,'music'
-11.732,-3.02E-06,0.069841,3.17,484,0.34393,0.34422,-0.10043,-22.537,0.29493,728.65,'speech'
-23.36,-8.54E-07,0.089866,3.6326,411,0.77999,0.18624,0.1412,-25.731,0.44848,744.49,'music'
-9.7193,-2.83E-06,0.054701,4.8084,281,1.153,-0.21611,-0.16817,-24.314,-0.044858,246.52,'speech'
-27.433,-4.51E-07,0.060562,3.5413,441,0.55034,-0.16535,0.25715,-27.42,-0.097969,552.56,'music'
-19.139,-1.25E-06,0.080342,2.0264,610,1.1716,-0.17876,-0.13239,-24.182,-0.12607,778.17,'music'
-11.443,-2.57E-06,0.10769,1.0975,773,1.0768,0.29912,-0.028672,-21.263,0.10716,1625.3,'speech'
-14.917,-2.92E-06,0.086447,1.615,1186,0.83259,0.047022,-0.17825,-20.705,-0.34842,1460.1,'music'
-20.929,-8.12E-07,0.0337,4.1741,265,0.39697,0.0059808,0.27216,-26.996,0.046548,295.73,'music'
-13.603,-1.07E-06,0.059585,2.3244,796,1.1179,0.47272,-0.28765,-25.439,-0.2129,645.02,'speech'
-18.637,-7.48E-07,0.047131,2.0869,608,0.63782,0.38363,0.067938,-26.174,0.38644,413.4,'speech'
-10.179,-3.60E-06,0.097192,1.0237,979,1.1223,0.13558,-0.1379,-20.617,0.27241,1209.9,'speech'
-16.474,-1.90E-06,0.086447,1.7388,1167,0.00079371,0.077629,-0.35305,-21.863,-0.086302,1394.4,'music'
-17.576,-7.43E-07,0.10403,0.076417,1395,0.66385,0.016693,0.064036,-23.63,-0.097489,2271.2,'speech'
-18.749,-1.21E-06,0.12357,2.4354,467,0.77306,0.10591,0.12864,-24.785,0.19889,852.26,'speech'
-20.19,-7.47E-07,0.058852,4.5135,313,0.54009,-0.028801,-0.0577,-27.062,-0.15458,534.67,'music'
-15.45,-2.56E-06,0.11429,3.0654,546,1.0236,0.43299,0.040615,-22.394,0.35044,650.23,'speech'
-9.0682,-1.81E-06,0.011966,2.3015,288,0.62303,0.10775,-0.095624,-26.367,0.23043,108.06,'music'
-35.493,-1.46E-07,0.10232,2.4526,1147,0.33368,0.13749,-0.021359,-29.075,-0.18623,1043.4,'speech'
-15.113,-2.06E-06,0.10061,3.3977,637,0.28617,0.17061,-0.2122,-23.855,0.1231,438.15,'speech'
-17.813,-7.10E-07,0.069597,1.8832,548,0.17995,-0.44895,0.76743,-27.291,-0.074294,611.82,'music'
-15.436,-1.95E-06,0.010745,2.5838,297,1.1735,0.22182,0.67376,-25.636,0.026622,174.19,'music'
-20.621,-5.14E-07,0.089866,1.2258,1391,0.52281,0.06582,0.027288,-26.835,0.10236,1175.6,'music'
-13.559,-2.96E-06,0.12161,2.0598,696,0.67053,0.063991,-0.1441,-20.874,0.025599,1070.1,'music'
-14.972,-1.79E-06,0.05177,3.7444,387,-0.5624,0.31072,0.2136,-24.196,0.20396,453.61,'music'
-10.923,-3.48E-06,0.055189,3.0086,717,0.31094,-0.015266,-0.023276,-21.607,0.030526,524.3,'music'
-16.914,-1.58E-06,0.22589,-0.39477,885,2.2243,0.27836,-0.48513,-23.332,-0.59178,2318.8,'music'
-30.285,-1.89E-07,0.04127,1.7934,1124,0.32299,0.014955,-0.054893,-29.633,-0.098206,660.04,'speech'
-14.193,-2.18E-06,0.16142,1.1042,972,0.42566,-0.18429,0.20927,-21.132,-0.0084672,1527,'music'
-20.659,-8.23E-07,0.084249,2.5921,598,1.2815,-0.028506,-0.30323,-24.898,-0.58182,718.26,'music'
-15.768,-1.68E-06,0.13065,2.1143,698,1.0723,-0.33018,-0.12729,-22.331,-0.23402,1419.3,'music'
-13.78,-2.09E-06,0.064225,3.1351,587,0.36853,0.062394,0.10833,-22.895,0.15127,559.27,'music'
-14.924,-2.03E-06,0.025397,4.3033,262,1.7021,-0.15744,0.088882,-25.047,0.11669,217.31,'music'
-23.67,-6.39E-07,0.064225,3.6408,365,0.88419,-0.11821,0.034876,-27.539,0.018817,539.53,'music'
-12.907,-2.91E-06,0.071795,1.9168,637,1.5437,0.41695,-0.081453,-21.553,0.093444,1019.1,'speech'
-15.011,-1.71E-06,0.14701,1.9293,534,1.6904,0.20914,-0.34138,-24.564,-0.078734,1388.6,'music'
-16.316,-1.59E-06,0.059096,2.7936,721,0.34431,0.27412,0.12324,-23.186,0.32877,557.9,'music'
-11.519,-2.51E-06,0.092796,4.122,432,0.75307,-0.014864,-0.027873,-23.612,-0.25214,580.81,'speech'
-14.156,-1.75E-06,0.066422,3.8808,332,-0.24854,-0.22604,-0.56102,-24.505,-0.83373,530.89,'music'
-22.883,-8.60E-07,0.075946,1.3919,830,1.219,0.59889,-0.45584,-24.77,0.16149,954.74,'speech'
-14.599,-1.43E-06,0.098657,2.3088,622,0.78401,-0.66797,-0.14758,-24.168,-0.28986,1015.6,'music'
-17.724,-2.56E-06,0.1138,3.581,450,1.1273,-0.28264,0.0039937,-22.853,-0.2213,1195.7,'speech'
-15.974,-1.03E-06,0.060073,3.8116,446,0.79164,-0.018802,-0.27018,-25.368,-0.31811,720.41,'speech'
-14.069,-2.35E-06,0.1663,1.4139,511,0.84923,-0.0082043,0.63414,-23.011,-0.49982,1401.1,'music'
-23.406,-6.98E-07,0.060073,3.9099,344,0.35996,0.03854,0.099589,-26.578,0.25044,558.75,'music'
-20.054,-1.09E-06,0.16386,2.3445,581,1.1836,-0.20951,-0.33794,-23.97,-0.60147,1463.4,'music'
-18.996,-1.34E-06,0.10794,2.435,556,1.5497,-0.071143,0.20954,-23.683,-0.46254,1224.5,'music'
-19.686,-1.02E-06,0.071795,1.5512,937,1.0633,0.21864,0.023882,-24.353,0.16787,752.67,'music'
-19.969,-1.49E-06,0.1768,1.8756,610,1.3063,-0.22188,0.049726,-23.14,-0.25819,1550.5,'music'
-25.788,-9.77E-07,0.15507,2.6355,547,1.2145,0.54652,-0.34986,-24.526,-0.033784,965.55,'speech'
-22.262,-4.94E-07,0.040049,2.3111,1159,0.57445,0.13701,0.020901,-28.262,-0.30054,534.88,'speech'
-20.437,-7.12E-07,0.027595,4.1863,138,0.92955,-0.062755,-0.2161,-29.062,-0.1067,199.98,'music'
-12.301,-2.64E-06,0.066422,2.9589,486,1.4811,0.3397,0.099528,-22.585,0.11541,639.88,'music'
-24.376,-4.48E-07,0.053968,2.6044,662,1.0861,0.18944,-0.17257,-28.571,-0.31504,422.64,'music'
-18.049,-1.40E-06,0.034432,3.462,347,1.1838,-0.16503,-0.13735,-25.262,-0.061708,282.85,'music'
-20.945,-6.83E-07,0.10012,1.2323,1184,0.81708,-0.13651,0.04536,-25.128,-0.16822,1013.7,'music'
-16.925,-1.56E-06,0.040049,1.8836,1067,0.25092,0.25954,0.065703,-23.045,0.074069,897.24,'music'
-11.142,-4.48E-06,0.2674,1.9035,975,0.091474,0.39836,-0.0050606,-19.605,-0.038084,1317,'speech'
-12.742,-1.92E-06,0.08547,2.2445,1305,-0.9187,0.096865,-0.23971,-22.406,-0.25321,1190.6,'music'
-28.69,-4.73E-07,0.062027,3.0623,772,0.28375,-0.078197,0.031008,-26.967,-0.32842,747.13,'speech'
-23.844,-1.17E-06,0.1094,1.9767,653,1.6013,0.005157,-0.1776,-23.758,-0.55497,1099.2,'speech'
-20.932,-1.24E-06,0.081319,2.3232,648,0.76667,0.035023,-0.19619,-23.744,-0.065332,775.22,'music'
-29.977,-4.26E-07,0.21758,1.7627,1417,0.13557,-0.12037,-0.10212,-25.837,-0.31383,1798.6,'speech'
-17.354,-1.70E-06,0.068132,2.8693,758,0.26832,0.093875,-0.0064338,-23.342,0.057712,626.19,'music'
-23.107,-4.54E-07,0.036386,4.0417,330,1.2638,0.35522,-0.20486,-29.388,0.23418,455.23,'music'
-10.567,-3.94E-06,0.083028,3.3095,490,1.5151,-0.23601,0.22024,-21.649,0.33336,921.36,'speech'
-20.542,-1.02E-06,0.073504,4.1401,488,1.06,-0.43717,-0.33571,-25.76,-0.23125,560.61,'music'
-13.289,-2.42E-06,0.13382,1.6776,770,1.4526,0.098965,0.042789,-21.91,0.15052,1294.9,'music'
-11.11,-3.82E-06,0.068132,1.3602,695,2.4379,-0.19056,0.10547,-21.553,-0.041469,1266.3,'speech'
-16.13,-8.22E-07,0.098168,1.3138,943,2.135,-0.10871,-0.3346,-25.729,-0.25433,827.54,'speech'
-27.063,-2.99E-07,0.054212,1.6293,870,0.10298,-0.032549,0.083466,-29.979,-0.03215,384.58,'speech'
-17.053,-1.25E-06,0.071551,1.6518,987,0.68336,-0.55806,0.11149,-23.516,-0.29909,866.89,'music'
-25.913,-3.92E-07,0.019048,3.4551,383,0.13732,0.1346,0.041777,-28.564,-0.013096,268.77,'music'
-11.39,-3.66E-06,0.11477,1.7928,1007,0.25938,0.039926,0.16874,-19.909,0.0043631,1287.5,'music'
-10.601,-3.73E-06,0.061538,4.5174,331,0.63391,0.36458,-0.078272,-22.385,-0.21184,692.94,'speech'
-15.917,-1.51E-06,0.06398,2.194,740,0.25556,0.15814,0.30277,-23.103,-0.10862,697.02,'music'
-13.429,-2.37E-06,0.15556,0.93537,1220,-0.004402,-0.43172,0.53909,-20.93,0.32559,1718.5,'music'
-13.892,-2.13E-06,0.082295,2.453,678,0.52233,-0.54368,-0.20162,-22.2,-0.21795,852.26,'music'
-20.068,-1.18E-06,0.15604,2.0675,577,0.44654,0.5503,-0.40922,-23.77,-0.5741,1395.2,'speech'
-24.423,-3.15E-07,0.0442,0.055319,1442,1.595,0.023614,0.16105,-27.835,0.89917,1055.6,'music'
-13.653,-2.57E-06,0.16386,0.2348,1187,0.82005,0.40695,0.14543,-20.639,-0.096593,2172,'speech'
-27.697,-3.09E-07,0.029792,3.0545,562,0.72904,0.018238,-0.55722,-29.221,0.26801,313.74,'music'
-14.073,-2.19E-06,0.14945,1.2824,934,0.41904,-0.19477,0.274,-21.324,0.1006,1301.6,'music'
-11.695,-1.95E-06,0.08083,1.5868,1111,0.60888,0.070114,0.17835,-23.326,0.17906,755.91,'music'
-27.438,-3.17E-07,0.074969,2.7074,826,0.12804,0.24199,0.016896,-27.69,-0.0023051,523.49,'speech'
-12.609,-2.24E-06,0.053968,4.0731,361,0.39247,-0.15823,-0.10695,-23.779,-0.03336,453.46,'speech'
-20.652,-8.03E-07,0.058852,2.044,674,1.1801,-0.11051,-0.25996,-25.347,-0.37248,731.38,'music'
-27.192,-6.05E-07,0.064713,2.7384,736,0.28206,0.024087,-0.15556,-25.71,-0.14056,705.72,'speech'
-34.056,-2.56E-07,0.18584,1.5409,1072,0.026272,0.15097,-0.015291,-26.887,-0.27454,1734.8,'speech'
-20.588,-1.14E-06,0.10256,2.2182,922,0.31824,0.35757,-0.52591,-23.652,0.0016825,944.44,'speech'
-14.447,-2.12E-06,0.10452,2.5226,552,1.638,-0.29974,0.2352,-22.574,-0.40656,1080.9,'music'
-12.276,-2.09E-06,0.10305,2.314,634,0.14644,0.15552,0.19046,-23.123,0.26543,994.83,'music'
-16.62,-1.54E-06,0.11795,0.22912,959,1.4339,0.057602,0.023418,-22.914,0.19245,1573.8,'music'
-25.09,1.94E-07,0.41148,-0.4165,1496,-0.71262,-0.12191,-0.55598,-26.089,-0.0051229,5264.5,'speech'
-22.498,-4.01E-07,0.05177,3.9502,219,0.63451,0.41813,0.013527,-29.923,0.59829,390.93,'music'
-23.359,-5.84E-07,0.04127,1.4349,1097,1.2146,0.32668,0.46839,-26.297,1.5897,893.42,'music'
-11.813,-2.10E-06,0.30696,0.46606,1438,0.20965,-0.18607,-0.12317,-20.716,-0.43297,2630.7,'speech'
-27.917,-3.16E-07,0.073421,3.6056,364,0.27557,-0.036967,0.59816,-28.796,-0.12768,760.05,'music'
-23.638,-5.21E-07,0.010501,2.9437,329,0.81783,0.30893,0.24899,-28.836,-0.01618,196.3,'music'
-16.873,-1.04E-06,0.028083,3.1298,433,0.35663,-0.069814,-0.04575,-25.948,-0.17868,253.27,'music'
-13.508,-1.11E-06,0.055189,0.15221,1075,1.248,0.69291,-0.19056,-24.932,0.306,998.97,'music'
-20.129,-1.21E-06,0.14432,2.5206,484,1.559,-0.11389,-0.31317,-25.413,-0.77253,1204,'music'
-19.341,-7.89E-07,0.050305,3.9838,294,0.36004,-0.11683,-0.12562,-26.937,-0.22596,382.57,'music'
-24.933,-4.29E-07,0.039072,2.0802,530,1.1636,-0.096019,-0.16569,-27.988,0.12736,440.59,'speech'
-12.311,-3.07E-06,0.083843,2.7469,589,0.84277,0.18583,0.3735,-21.197,0.3414,878.62,'music'
-41.334,-1.15E-07,0.25006,0.8241,1262,0.48116,0.040506,-0.073934,-28.69,-0.058775,2493.8,'speech'
-19.082,-1.10E-06,0.078877,2.349,773,0.43527,0.12184,0.10121,-24.073,0.15319,736.33,'music'
-17.121,-7.50E-07,0.2464,-0.28351,1507,1.6651,0.16482,-0.37393,-23.664,-0.17124,3078.8,'speech'
-21.04,-8.88E-07,0.041026,3.1711,447,0.81527,0.031685,0.22966,-25.756,0.38776,475.3,'music'
-11.779,-2.03E-06,0.052991,3.0933,483,0.82317,0.070863,0.054733,-23.178,-0.030368,416.88,'music'
-23.203,-9.23E-07,0.11477,2.8628,692,0.30214,-0.19208,0.036715,-25.244,-0.50837,705.19,'speech'
-26.936,-4.60E-07,0.058608,2.9322,479,0.60654,0.13123,-0.16289,-27.626,0.069595,606.98,'speech'
-20.949,-6.68E-07,0.021734,2.2442,795,1.1139,-0.13808,0.14074,-27.331,0.035469,400.84,'speech'
-9.6747,-4.33E-06,0.085714,2.6683,688,-0.19771,-0.35,0.35565,-20.544,-0.11615,744.87,'speech'
-10.403,-2.67E-06,0.17558,0.54585,699,0.47716,-1.2396,-0.52607,-22.232,-1.5078,1507.3,'speech'
-12.381,-2.79E-06,0.1304,1.5679,554,0.77565,0.017258,0.15695,-21.782,0.094811,1255.5,'music'
-24.266,-6.11E-07,0.099634,1.9465,657,0.98823,-0.35622,-0.48303,-25.735,-0.24119,1027,'speech'
-21.735,-8.99E-07,0.093773,2.3818,664,1.1332,-0.15428,-0.030844,-24.425,-0.28039,930.12,'music'
-26.363,-4.90E-07,0.057875,1.3849,821,1.3576,0.22334,-0.003168,-26.04,-0.25373,942.3,'speech'
-17.557,-8.23E-07,0.057875,2.4556,1144,0.11898,-0.51512,-0.39811,-25.483,-0.43122,694.67,'music'
-24.928,-6.25E-07,0.050549,3.2623,617,0.035626,0.12312,-0.2445,-27.25,0.26293,383.33,'music'
-12.486,-2.62E-06,0.074725,2.2035,638,1.2252,-0.11691,-0.26643,-22.254,0.13628,807.26,'speech'
-16.663,-1.20E-06,0.036386,2.8741,456,1.3193,0.083783,-0.20043,-25.357,0.28831,367.14,'music'
-32.482,-1.92E-07,0.19219,1.9284,1239,-0.34073,-0.079117,0.37072,-27.852,-0.23849,1692,'speech'
-18.767,-1.80E-06,0.1033,2.2378,744,0.48561,0.010272,0.090657,-22.194,0.03138,1021.8,'music'
-20.965,-1.02E-06,0.070085,3.8601,487,0.24673,-0.86032,-0.45911,-25.651,-0.5925,736.8,'music'
-12.819,-2.56E-06,0.048107,2.3348,636,0.92812,-0.0083,-0.192,-22.441,-0.47784,519.67,'music'
-13.712,-2.44E-06,0.063492,3.0899,481,1.7938,-0.51511,-0.21142,-22.705,0.016245,830.04,'speech'
-16.77,-1.56E-06,0.08547,2.2437,982,0.45994,0.011103,0.36216,-24.215,0.59972,685.6,'music'
-14.019,-2.56E-06,0.21123,1.5293,787,0.94844,0.20279,-0.29346,-21.12,-0.28764,1858.1,'music'
-16.659,-2.05E-06,0.088889,1.1458,931,1.4176,0.050793,-0.19468,-22.382,0.11971,1212.3,'speech'
-22.479,-4.87E-07,0.12332,2.3544,729,0.97922,0.63019,-0.21932,-26.232,-0.21957,1076.7,'speech'
-36.71,-1.94E-07,0.14725,1.8223,1167,0.067291,-0.0076774,0.20689,-27.834,-0.22781,1826.7,'speech'
-10.884,-3.34E-06,0.094017,2.2058,727,0.80465,0.2362,0.29507,-20.873,0.35038,785.24,'music'
-14.702,-1.42E-06,0.10549,2.9871,491,2.0039,0.30362,-0.24009,-24.698,0.4572,1124.7,'speech'
-9.9988,-3.60E-06,0.075214,2.6006,524,0.03144,0.27789,-0.088304,-21.26,-0.10219,765.3,'speech'
-8.7228,-3.07E-06,0.044933,1.5925,704,0.45298,0.32284,-0.17777,-21.724,0.36389,633.9,'music'
-12.684,-2.60E-07,0.15922,-1.0097,1645,0.83849,0.21406,-0.040136,-24.097,-0.29592,3616.7,'speech'
-16.358,-1.19E-06,0.05348,2.7261,984,0.4796,-0.20038,-0.020104,-25.177,-0.2044,554.51,'music'
-30.699,-2.50E-07,0.030525,4.7608,186,0.6893,0.15606,-0.21553,-31.084,0.024146,244.58,'music'
-16.427,-2.25E-06,0.098657,3.2532,478,0.6534,0.12989,0.49427,-22.366,-0.23002,795.04,'speech'
-15.624,-2.26E-06,0.22271,0.87074,711,1.8283,-0.23885,-0.3219,-21.738,-0.22255,2027,'music'
-27.742,-2.72E-07,0.038584,2.5088,703,0.96983,-0.097418,-0.20434,-29.776,-0.37638,398.95,'music'
-22.621,-7.18E-07,0.14774,1.3065,1001,0.18941,-0.34851,-0.099546,-24.22,-0.26739,1383.6,'music'
-21.135,-9.97E-07,0.073993,2.427,590,1.0749,-0.32325,-0.33905,-24.743,-0.46986,621.3,'music'
-12.956,-2.82E-07,0.28303,0.99397,1678,0.28839,0.19381,-0.0087903,-23.616,0.17201,4301.2,'speech'
-18.531,-6.70E-07,0.09768,0.64864,681,1.589,-0.64856,-0.6317,-26.006,-0.47599,1115.5,'music'
-22.986,-7.32E-07,0.060317,2.0552,671,0.60826,0.037315,-0.16888,-25.599,0.081838,670.63,'music'
-25.711,-6.19E-07,0.17192,-0.42534,1045,1.1743,-0.033423,-0.068759,-25.196,0.15316,1772.7,'speech'
-23.837,-9.36E-07,0.17118,2.1369,734,1.0701,0.3048,0.20427,-24.441,-0.3582,1091.3,'speech'
-11.083,-4.33E-06,0.086935,2.3594,465,0.32206,-0.29454,0.017126,-21.195,-0.35583,935.25,'speech'
-32.841,-1.14E-07,0,3.2617,284,0.63033,-0.019976,-0.094462,-33.051,0.1063,165,'speech'
-14.618,-1.63E-06,0.084249,2.8735,1071,-0.10317,-0.31652,0.15433,-23.578,-0.28972,717.09,'music'
-10.571,-3.01E-06,0.18462,1.0935,601,0.96606,0.19816,-1.4683,-22.433,-1.166,1871.1,'music'
-15.006,-1.66E-06,0.070085,1.8979,770,-0.48626,0.13523,0.26171,-23.759,0.32479,769.73,'speech'
-17.305,-1.57E-06,0.11551,0.51933,1028,1.3544,0.1783,-0.11093,-23.237,0.054184,1276.5,'music'
-19.636,-8.92E-07,0.030769,3.9295,170,0.62603,0.021839,0.21051,-28.012,0.034954,183.61,'music'
-13.943,-3.04E-07,0.096459,0.35868,1555,-0.13901,0.30552,-0.51368,-23.878,-0.42711,2749,'music'
-26.383,-4.11E-07,0.0090354,3.161,418,0.67437,0.062728,0.12466,-28.701,0.099211,265.31,'speech'
-18.219,-1.66E-06,0.066422,2.2992,972,0.35387,-0.002543,-0.40023,-23.7,-0.04023,744.51,'music'
-23.453,-5.38E-07,0.043956,2.5359,663,1.1806,-0.042302,-0.12515,-27.822,-0.3886,378.68,'music'
-9.8858,-4.22E-06,0.079365,3.3845,470,0.26673,0.070173,-0.38825,-21.172,-0.43908,721.18,'speech'
-23.319,-1.93E-07,0.016361,2.6886,696,0.74356,-0.20121,0.071086,-30.174,-0.18515,398.84,'speech'
-10.676,-2.30E-06,0.079365,3.0701,462,0.92864,-0.016961,0.045008,-23.385,0.48908,595.36,'speech'
-15.551,-2.65E-06,0.10305,1.7664,888,0.37057,0.49498,-0.053199,-21.52,0.24542,993.47,'music'
-12.974,-3.72E-06,0.05177,2.849,466,0.71663,-0.21711,-0.011187,-21.255,0.3745,940.75,'speech'
-24.081,-5.90E-07,0.11087,2.1533,1031,0.14981,0.034905,-0.16958,-25.402,-0.03882,969.4,'music'
-19.558,-8.23E-07,0.10476,1.9108,1281,0.31361,-0.060485,0.20493,-24.041,0.14759,1519,'music'
-32.232,-1.61E-07,0.16386,1.7406,1245,0.60987,0.017399,0.1397,-28.628,-0.15423,1534.4,'speech'
-37.202,-8.58E-08,0.30525,0.76539,1492,0.57818,-0.15051,-0.40648,-28.601,-0.31213,3584.2,'speech'
-38.444,-2.01E-07,0.1619,1.714,916,0.412,-0.068362,-0.24799,-27.759,-0.27637,1567.7,'speech'
-24.425,-5.54E-07,0.054457,3.3269,567,0.56475,-0.23857,-0.015717,-26.631,0.082112,512.57,'speech'
-24.658,-6.99E-07,0.082051,1.7641,590,0.58019,0.20836,-0.17157,-25.617,0.12857,855.63,'speech'
-13.14,-2.36E-06,0.1348,1.3509,1199,0.33384,0.068987,0.10044,-20.794,0.19143,1624,'music'
-30.601,-2.78E-07,0.037607,4.3527,234,0.65067,-0.18045,0.55481,-30.379,0.23677,335.41,'music'
-40.665,-1.07E-07,0.16264,1.9693,1252,-0.54964,-0.16575,0.24021,-29.459,-0.082812,1617.3,'speech'
-27.816,-4.89E-07,0.075946,2.3314,612,2.1526,-0.0069692,-0.21011,-26.85,-0.0081145,724.13,'speech'
-16.845,-2.49E-06,0.10085,4.3522,525,1.9869,-0.48599,-0.1647,-23.019,0.22066,1020.2,'speech'
-13.768,-2.28E-06,0.11941,2.4553,480,0.77285,-0.17794,-0.14076,-22.493,-0.10449,967.71,'speech'
-15.498,-1.40E-06,0.078144,1.6813,484,2.0595,-0.2338,-0.29539,-25.457,-0.43185,938.48,'music'
-23.569,-8.70E-07,0.1409,2.0616,682,1.7079,-0.090946,-0.062257,-24.978,-0.43716,908.21,'speech'
-24.305,-9.58E-07,0.091331,2.6307,730,0.49412,0.06796,0.68684,-24.212,-0.82461,1016,'speech'
-17.192,-1.90E-06,0.067643,2.5462,695,0.51067,-0.17376,0.17558,-22.649,0.12129,642.07,'music'
-14.506,-1.75E-06,0.036386,3.9599,278,1.1221,0.048715,-0.22299,-25.445,0.21124,369.77,'music'
-28.353,-1.69E-07,0.12186,0.0071293,1482,0.39621,-0.19708,0.28361,-26.821,0.034227,3250.4,'speech'
-28.943,-4.51E-07,0.12723,2.3342,675,1.1745,-0.4334,0.080519,-26.516,-0.10428,1324.9,'speech'
-22.582,-5.40E-07,0.099878,3.6956,570,-0.25197,0.31842,0.15479,-26.529,-0.18928,715.97,'speech'
-17.247,-8.02E-07,0.040537,1.9954,1055,0.10186,0.033829,-0.10758,-25.728,0.13675,609.02,'music'
-32.177,-1.64E-07,0.0009768,2.212,710,0.31689,-0.10814,0.1535,-29.902,0.12203,422.06,'speech'
-13.837,-2.64E-06,0.03956,3.4028,498,1.021,0.16795,0.71581,-22.802,-0.45897,483.69,'speech'
-12.425,-2.71E-06,0.11209,1.6408,1089,0.13306,0.1265,0.14809,-20.935,0.12822,1076.7,'music'
-12.79,-2.35E-06,0.11502,1.9719,1228,0.27959,-0.059159,-0.08042,-21.258,0.27472,1419.4,'music'
